Label (Grouping),"Chicago city, Illinois!!Estimate","Chicago city, Illinois!!Margin of Error"
Total:,"8,495",±947
"    American Indian tribes, specified:","4,796",±740
        Apache,161,±119
        Arapaho,15,±26
        Blackfeet,52,±80
        Canadian and French American Indian,19,±23
        Central American Indian,25,±33
        Cherokee,519,±233
        Cheyenne,14,±23
        Chickasaw,30,±24
        Chippewa,523,±281
        Choctaw,92,±73
        Colville,0,±27
        Comanche,15,±20
        Cree,16,±23
        Creek,26,±30
        Crow,0,±27
        Delaware,28,±35
        Hopi,6,±9
        Houma,0,±27
        Iroquois,103,±78
        Kiowa,0,±27
        Lumbee,0,±27
        Menominee,124,±97
        Mexican American Indian,"1,922",±508
        Navajo,39,±32
        Osage,0,±27
        Ottawa,10,±16
        Paiute,0,±27
        Pima,0,±27
        Potawatomi,108,±144
        Pueblo,57,±77
        Puget Sound Salish,25,±65
        Seminole,27,±32
        Shoshone,0,±27
        Sioux,74,±62
        South American Indian,470,±326
        Spanish American Indian,72,±63
        Tohono O'Odham,0,±27
        Ute,0,±27
        Yakama,0,±27
        Yaqui,0,±27
        Yuman,0,±27
        All other American Indian tribes (with only one tribe reported),224,±118
"    American Indian tribes, not specified",634,±236
"    Alaska Native tribes, specified:",68,±43
        Alaskan Athabascan,0,±27
        Aleut,0,±27
        Inupiat,46,±34
        Tlingit-Haida,11,±19
        Tsimshian,0,±27
        Yup'ik,11,±19
"    Alaska Native tribes, not specified",0,±27
"    American Indian or Alaska Native tribes, not specified","2,989",±627
    Two or More American Indian or Alaska Native Tribes,8,±12