Label (Grouping),"Chicago city, Illinois"
Total:,"2,746,388"
    Hispanic or Latino,"819,518"
    Not Hispanic or Latino:,"1,926,870"
        Population of one race:,"1,856,427"
            White alone,"863,622"
            Black or African American alone,"787,551"
            American Indian and Alaska Native alone,"3,332"
            Asian alone,"189,857"
            Native Hawaiian and Other Pacific Islander alone,529
            Some Other Race alone,"11,536"
        Population of two or more races:,"70,443"
            Population of two races:,"65,436"
                White; Black or African American,"17,129"
                White; American Indian and Alaska Native,"6,432"
                White; Asian,"20,166"
                White; Native Hawaiian and Other Pacific Islander,408
                White; Some Other Race,"10,371"
                Black or African American; American Indian and Alaska Native,"4,163"
                Black or African American; Asian,"1,896"
                Black or African American; Native Hawaiian and Other Pacific Islander,169
                Black or African American; Some Other Race,"3,127"
                American Indian and Alaska Native; Asian,332
                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,16
                American Indian and Alaska Native; Some Other Race,90
                Asian; Native Hawaiian and Other Pacific Islander,654
                Asian; Some Other Race,431
                Native Hawaiian and Other Pacific Islander; Some Other Race,52
            Population of three races:,"4,470"
                White; Black or African American; American Indian and Alaska Native,"1,976"
                White; Black or African American; Asian,642
                White; Black or African American; Native Hawaiian and Other Pacific Islander,56
                White; Black or African American; Some Other Race,536
                White; American Indian and Alaska Native; Asian,272
                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,24
                White; American Indian and Alaska Native; Some Other Race,91
                White; Asian; Native Hawaiian and Other Pacific Islander,301
                White; Asian; Some Other Race,191
                White; Native Hawaiian and Other Pacific Islander; Some Other Race,11
                Black or African American; American Indian and Alaska Native; Asian,122
                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,37
                Black or African American; American Indian and Alaska Native; Some Other Race,110
                Black or African American; Asian; Native Hawaiian and Other Pacific Islander,45
                Black or African American; Asian; Some Other Race,35
                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,2
                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,0
                American Indian and Alaska Native; Asian; Some Other Race,9
                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,1
                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,9
            Population of four races:,459
                White; Black or African American; American Indian and Alaska Native; Asian,186
                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,24
                White; Black or African American; American Indian and Alaska Native; Some Other Race,159
                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,16
                White; Black or African American; Asian; Some Other Race,28
                White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,2
                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,17
                White; American Indian and Alaska Native; Asian; Some Other Race,5
                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
                White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,6
                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,8
                Black or African American; American Indian and Alaska Native; Asian; Some Other Race,0
                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
                Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,8
                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            Population of five races:,74
                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,36
                White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,31
                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,7
                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            Population of six races:,4
                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,4