cca_num,Name,Pop_Total,White_Population,Percent_White,HispanicOrLatino_Population,Percent_HispanicOrLatino,Black_Population,Percent_Black,Asian_Population,Percent_Asian,NativeAmerican_Population,Percent_NativeAmerican,region,ForeignBorn_percent,LimitedEnglishProfiency_Percent,MedianIncome,PovertyRate_Percent,UnemploymentRate_Percent,FoodStamps_Percent,SeverelyRentBurdened_Percent,UninsuredRate_Percent
1,Rogers Park,55628,22292,40.07,12587,22.63,13819,24.84,3820,6.87,116,0.21,Far North Side,26,8,46315,25,5,19,28,13
2,West Ridge,77122,28212,36.58,15307,19.85,10484,13.59,19815,25.69,178,0.23,Far North Side,41,12,65003,20,7,20,27,12
3,Uptown,57182,29871,52.24,7587,13.27,10800,18.89,6182,10.81,90,0.16,Far North Side,22,5,65737,18,4,13,20,8
4,Lincoln Square,40494,25342,62.58,7069,17.46,1601,3.95,4516,11.15,66,0.16,Far North Side,23,6,90457,8,4,5,15,8
5,North Center,35114,25799,73.47,4503,12.82,780,2.22,2162,6.16,24,0.07,North Side,12,2,130550,5,3,5,11,3
6,Lake View,103050,77133,74.85,9340,9.06,3917,3.8,7717,7.49,95,0.09,North Side,12,2,113358,8,3,3,14,4
7,Lincoln Park,70492,54378,77.14,4928,6.99,2895,4.11,5169,7.33,35,0.05,North Side,12,1,133792,9,3,5,14,3
8,Near North Side,105481,73970,70.13,6587,6.24,8576,8.13,12313,11.67,109,0.1,Central ,16,1,111369,9,3,6,16,2
9,Edison Park,11525,9538,82.76,1239,10.75,62,0.54,308,2.67,6,0.05,Far North Side,9,1,111770,4,2,1,20,2
10,Norwood Park,38303,28208,73.64,6247,16.31,363,0.95,2222,5.8,47,0.12,Far North Side,19,4,88796,7,3,5,25,3
11,Jefferson Park,26216,15767,60.14,6325,24.13,431,1.64,2731,10.42,40,0.15,Far North Side,27,8,82187,10,5,9,18,8
12,Forest Glen,19596,13388,68.32,2647,13.51,208,1.06,2476,12.64,11,0.06,Far North Side,16,3,134527,4,3,3,29,4
13,North Park,17559,7973,45.41,3352,19.09,743,4.23,4735,26.97,26,0.15,Far North Side,36,9,63921,11,5,15,17,6
14,Albany Park,48396,14608,30.18,22688,46.88,2168,4.48,7035,14.54,112,0.23,Far North Side,38,15,68435,14,5,15,19,15
15,Portage Park,63020,28496,45.22,27634,43.85,1378,2.19,3527,5.6,120,0.19,Northwest Side,32,11,74227,9,5,10,19,11
16,Irving Park,51940,22165,42.67,21468,41.33,1945,3.74,4203,8.09,112,0.22,Northwest Side,26,10,79563,9,4,9,16,12
17,Dunning,43147,24110,55.88,15040,34.86,816,1.89,2141,4.96,31,0.07,Northwest Side,33,10,75256,7,4,6,26,8
18,Montclare,14401,3883,26.96,8841,61.39,881,6.12,476,3.31,12,0.08,Northwest Side,31,16,54793,12,6,16,31,11
19,Belmont Cragin,78116,8867,11.35,63967,81.89,2633,3.37,1638,2.1,72,0.09,Northwest Side,39,21,56323,16,6,19,28,16
20,Hermosa,24062,2141,8.9,20448,84.98,842,3.5,290,1.21,31,0.13,Northwest Side,35,22,50508,16,6,20,25,19
21,Avondale,36257,13291,36.66,18968,52.32,1103,3.04,1617,4.46,64,0.18,North Side,29,14,72203,14,4,10,22,17
22,Logan Square,71665,36391,50.78,26051,36.35,3091,4.31,3098,4.32,64,0.09,North Side,17,9,93933,11,3,9,14,8
23,Humboldt Park,54165,4775,8.82,31734,58.59,16146,29.81,429,0.79,41,0.08,West Side,18,10,41646,27,12,36,29,16
24,West Town,87781,54446,62.02,18627,21.22,5659,6.45,5102,5.81,77,0.09,West Side,13,5,112881,11,4,8,13,6
25,Austin,96557,3794,3.93,18590,19.25,72013,74.58,369,0.38,99,0.1,West Side,7,3,43187,25,12,33,36,12
26,West Garfield Park,17433,231,1.33,1157,6.64,15604,89.51,21,0.12,45,0.26,West Side,1,0,27406,39,20,50,41,10
27,East Garfield Park,19992,1035,5.18,1664,8.32,16681,83.44,96,0.48,19,0.1,West Side,2,1,26139,44,18,46,41,8
28,Near West Side,67881,29142,42.93,6616,9.75,16361,24.1,12743,18.77,94,0.14,West Side,14,1,80801,25,8,18,20,5
29,North Lawndale,34794,835,2.4,4047,11.63,29111,83.67,105,0.3,47,0.14,West Side,4,2,32051,38,14,45,38,11
30,South Lawndale,71399,2328,3.26,61970,86.79,6246,8.75,206,0.29,100,0.14,West Side,40,21,37293,28,9,24,19,23
31,Lower West Side,33751,6377,18.89,23974,71.03,1544,4.57,980,2.9,45,0.13,West Side,33,18,54562,15,5,16,19,15
32,Loop,42298,24092,56.96,3502,8.28,3808,9,8749,20.68,56,0.13,Central ,26,1,124159,11,6,1,20,4
33,Near South Side,28795,12781,44.39,2101,7.3,6570,22.82,5781,20.08,36,0.13,Central ,20,3,112133,10,1,13,16,3
34,Armour Square,13890,1535,11.05,602,4.33,1521,10.95,10033,72.23,6,0.04,South Side,49,31,33603,37,13,31,16,8
35,Douglas,20291,1847,9.1,881,4.34,14264,70.3,2539,12.51,28,0.14,South Side,26,2,43607,35,12,24,28,7
36,Oakland,6799,179,2.63,204,3,6149,90.44,59,0.87,1,0.01,South Side,7,0,36117,25,15,37,18,5
37,Fuller Park,2567,71,2.77,399,15.54,1998,77.83,15,0.58,0,0,South Side,5,1,25682,29,25,48,26,6
38,Grand Boulevard,24589,633,2.57,754,3.07,22262,90.54,85,0.35,30,0.12,South Side,3,0,40879,29,15,39,30,7
39,Kenwood,19116,3121,16.33,763,3.99,12965,67.82,1364,7.14,27,0.14,South Side,9,0,59019,19,10,18,26,6
40,Washington Park,12707,110,0.87,380,2.99,11924,93.84,16,0.13,22,0.17,South Side,2,0,29351,37,22,49,39,7
41,Hyde Park,29456,12022,40.81,2450,8.32,8369,28.41,4796,16.28,31,0.11,South Side,20,1,67101,21,8,5,32,6
42,Woodlawn,24425,1846,7.56,980,4.01,19923,81.57,740,3.03,36,0.15,South Side,6,1,31305,36,18,39,35,9
43,South Shore,53971,948,1.76,1352,2.51,49811,92.29,148,0.27,81,0.15,South Side,4,1,38934,31,16,36,35,8
44,Chatham,31710,168,0.53,476,1.5,30275,95.47,39,0.12,25,0.08,Far South Side,3,0,45087,24,15,32,38,11
45,Avalon Park,9458,46,0.49,193,2.04,8922,94.33,17,0.18,9,0.1,Far South Side,1,0,48350,21,15,23,38,5
46,South Chicago,27300,549,2.01,5741,21.03,20228,74.1,44,0.16,32,0.12,Far South Side,12,4,40968,29,18,38,29,10
47,Burnside,2527,4,0.16,65,2.57,2386,94.42,4,0.16,8,0.32,Far South Side,4,1,30629,16,20,33,43,15
48,Calumet Heights,13088,104,0.79,612,4.68,12067,92.2,19,0.15,28,0.21,Far South Side,5,1,49136,16,9,20,28,7
49,Roseland,38816,257,0.66,926,2.39,36626,94.36,47,0.12,40,0.1,Far South Side,2,0,44056,23,20,36,35,7
50,Pullman,6820,444,6.51,493,7.23,5704,83.64,8,0.12,10,0.15,Far South Side,3,2,42516,20,16,30,26,6
51,South Deering,14105,487,3.45,4713,33.41,8590,60.9,17,0.12,29,0.21,Far South Side,15,7,31576,38,16,41,31,8
52,East Side,21724,2627,12.09,17834,82.09,910,4.19,63,0.29,39,0.18,Far South Side,27,14,53703,18,10,31,30,10
53,West Pullman,26104,210,0.8,1598,6.12,23645,90.58,25,0.1,28,0.11,Far South Side,3,1,47005,22,17,31,35,9
54,Riverdale,7262,41,0.56,206,2.84,6830,94.05,6,0.08,9,0.12,Far South Side,1,1,16501,54,31,61,22,8
55,Hegewisch,10027,3112,31.04,5795,57.79,874,8.72,45,0.45,12,0.12,Far South Side,18,7,58218,17,6,17,35,10
56,Garfield Ridge,35439,13604,38.39,19088,53.86,1751,4.94,451,1.27,54,0.15,Southwest Side,23,9,80226,8,9,11,15,8
57,Archer Heights,14196,1662,11.71,11664,82.16,124,0.87,611,4.3,13,0.09,Southwest Side,37,18,56529,14,8,16,21,10
58,Brighton Park,45053,2474,5.49,36756,81.58,591,1.31,4895,10.86,27,0.06,Southwest Side,42,24,44738,24,8,23,21,18
59,McKinley Park,15923,2173,13.65,8908,55.94,255,1.6,4294,26.97,15,0.09,Southwest Side,39,21,53795,19,8,19,26,13
60,Bridgeport,33702,10350,30.71,7400,21.96,900,2.67,14176,42.06,34,0.1,South Side,34,16,62300,15,7,15,23,9
61,New City,43628,4168,9.55,29493,67.6,8142,18.66,1214,2.78,29,0.07,Southwest Side,22,12,47877,25,14,32,23,15
62,West Elsdon,18394,1939,10.54,15545,84.51,279,1.52,487,2.65,26,0.14,Southwest Side,36,16,65601,9,11,16,18,10
63,Gage Park,39540,1393,3.52,36132,91.38,1398,3.54,231,0.58,52,0.13,Southwest Side,37,18,45762,18,13,32,19,15
64,Clearing,24473,8761,35.8,14471,59.13,557,2.28,277,1.13,25,0.1,Southwest Side,17,7,64655,9,9,12,15,9
65,West Lawn,33662,2853,8.48,29378,87.27,1059,3.15,172,0.51,14,0.04,Southwest Side,32,15,63015,13,11,15,23,11
66,Chicago Lawn,55931,1571,2.81,32949,58.91,20443,36.55,145,0.26,38,0.07,Southwest Side,18,9,39009,24,21,35,33,14
67,West Englewood,29647,177,0.6,5832,19.67,22912,77.28,45,0.15,26,0.09,Southwest Side,5,2,29426,33,27,45,37,8
68,Englewood,24369,179,0.73,1605,6.59,21941,90.04,27,0.11,41,0.17,Southwest Side,3,1,25566,40,24,46,33,12
69,Greater Grand Crossing,31471,163,0.52,668,2.12,29779,94.62,25,0.08,27,0.09,South Side,2,0,31107,36,22,44,37,7
70,Ashburn,41098,3610,8.78,19157,46.61,17440,42.44,211,0.51,22,0.05,Far Southwest Side,17,6,77056,13,11,14,34,9
71,Auburn Gresham,44878,191,0.43,1612,3.59,42059,93.72,43,0.1,63,0.14,Far Southwest Side,2,0,37670,25,16,34,35,8
72,Beverly,20027,11009,54.97,1178,5.88,6943,34.67,158,0.79,16,0.08,Far Southwest Side,4,1,113511,5,4,3,17,3
73,Washington Heights,25065,95,0.38,544,2.17,23849,95.15,31,0.12,17,0.07,Far Southwest Side,1,0,57159,21,16,25,38,6
74,Mount Greenwood,18628,15256,81.9,1994,10.7,753,4.04,116,0.62,18,0.1,Far Southwest Side,4,0,105736,5,4,4,26,3
75,Morgan Park,21186,5838,27.56,964,4.55,13649,64.42,73,0.34,36,0.17,Far Southwest Side,4,1,67711,12,11,12,25,6
76,O'Hare,13418,9174,68.37,1492,11.12,385,2.87,1958,14.59,15,0.11,Far North Side,42,14,62773,13,4,9,26,14
77,Edgewater,56296,30962,55,8466,15.04,6820,12.11,7316,13,73,0.13,Far North Side,23,6,71991,13,5,9,20,7